"ID","SPECIES","STAGE","TSECS","observedState","decodedState"
23,"Sandwich","Chick",33459,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33460,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33461,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33462,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33463,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33464,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33465,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33466,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33467,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33468,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33469,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33470,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33471,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33472,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33473,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33474,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33475,"Not-foraging","Not-foraging"
