"ID","SPECIES","BSTTSECS","observedState","decodedState"
2,"Sandwich",36476,"Not-foraging","Not-foraging"
2,"Sandwich",36477,"Not-foraging","Not-foraging"
2,"Sandwich",36478,"Not-foraging","Not-foraging"
2,"Sandwich",36479,"Not-foraging","Not-foraging"
2,"Sandwich",36480,"Not-foraging","Not-foraging"
2,"Sandwich",36481,"Not-foraging","Not-foraging"
2,"Sandwich",36482,"Not-foraging","Not-foraging"
2,"Sandwich",36483,"Not-foraging","Not-foraging"
2,"Sandwich",36484,"Not-foraging","Not-foraging"
2,"Sandwich",36485,"Not-foraging","Not-foraging"
2,"Sandwich",36486,"Not-foraging","Not-foraging"
2,"Sandwich",36487,"Not-foraging","Not-foraging"
2,"Sandwich",36488,"Not-foraging","Not-foraging"
2,"Sandwich",36489,"Not-foraging","Not-foraging"
2,"Sandwich",36490,"Not-foraging","Not-foraging"
2,"Sandwich",36491,"Not-foraging","Not-foraging"
2,"Sandwich",36492,"Not-foraging","Not-foraging"
2,"Sandwich",36493,"Not-foraging","Not-foraging"
2,"Sandwich",36494,"Not-foraging","Not-foraging"
2,"Sandwich",36495,"Not-foraging","Not-foraging"
2,"Sandwich",36496,"Not-foraging","Not-foraging"
2,"Sandwich",36497,"Not-foraging","Not-foraging"
2,"Sandwich",36498,"Not-foraging","Not-foraging"
2,"Sandwich",36499,"Not-foraging","Not-foraging"
2,"Sandwich",36500,"Not-foraging","Not-foraging"
2,"Sandwich",36501,"Not-foraging","Not-foraging"
2,"Sandwich",36502,"Not-foraging","Not-foraging"
2,"Sandwich",36503,"Not-foraging","Not-foraging"
2,"Sandwich",36504,"Not-foraging","Not-foraging"
2,"Sandwich",36505,"Not-foraging","Not-foraging"
2,"Sandwich",36506,"Not-foraging","Not-foraging"
2,"Sandwich",36507,"Not-foraging","Not-foraging"
2,"Sandwich",36508,"Not-foraging","Not-foraging"
2,"Sandwich",36509,"Not-foraging","Not-foraging"
2,"Sandwich",36510,"Not-foraging","Not-foraging"
2,"Sandwich",36511,"Not-foraging","Not-foraging"
